name,email,password,type
Martha,martha@yahoo.com,suceava,student
Ilarie,ilarie@yahoo.com,suceava,student
Mariuca,mariuca@yahoo.com,suceava,student
Bogdanel,bogdanel@yahoo.com,suceava,student
Johann,johann@yahoo.com,suceava,student
Ecler,ecler@yahoo.com,suceava,student
Misu,misu@yahoo.com,suceava,student
Raducu,raducu@yahoo.com,suceava,student
Violeta,violeta@yahoo.com,suceava,student
Mirciu,mirciu@yahoo.com,suceava,student
Salvador,salvador@yahoo.com,suceava,student
Petrache,petrache@yahoo.com,suceava,student
