name,email,password,type,class
Martha,martha@yahoo.com,suceava,student,12E
Ilarie,ilarie@yahoo.com,suceava,student,12E
Mariuca,mariuca@yahoo.com,suceava,student,12E
Bogdanel,bogdanel@yahoo.com,suceava,student,12E
Johann,johann@yahoo.com,suceava,student,12E
Ecler,ecler@yahoo.com,suceava,student,12E
Misu,misu@yahoo.com,suceava,student,12E
Raducu,raducu@yahoo.com,suceava,student,12E
Violeta,violeta@yahoo.com,suceava,student,12E
Mirciu,mirciu@yahoo.com,suceava,student,12B
Salvador,salvador@yahoo.com,suceava,student,10B
Petrache,petrache@yahoo.com,suceava,student,
